movie_title,bag_of_words
Swordfish ,action crime thriller computer secret agent terrorism told in flashback wearing a sound wire  
The Legend of Zorro ,action adventure western california fight hero mask zorro  
What Dreams May Come ,drama fantasy romance heaven hell soul soul mate suicide  
Little Nicky ,comedy fantasy angel devil flask hell the devil  
The Brothers Grimm ,action adventure comedy fantasy thriller creature curse exorcism girl village  
Mars Attacks! ,action comedy sci-fi alien general martian president weapon  
Evolution ,drama horror mystery sci-fi boy giving birth nurse sea ultrasonography  
The Edge ,action adventure drama thriller bear billionaire crash survival tactics wilderness  
Surrogates ,action sci-fi thriller android fbi agent future murder robot  
Thirteen Days ,drama history thriller blockade crisis cuba missile president  
Daylight ,action adventure drama thriller collapsing tunnel explosion new jersey tunnel weimaraner  
Walking with Dinosaurs 3D ,adventure animation family brother dinosaur head butt hero orphan  
Battlefield Earth ,action adventure sci-fi alien bad acting pulp fiction resistance fighter voyager golden record  
Looney Tunes: Back in Action ,adventure animation comedy family fantasy sci-fi diamond duck monkey spy stuntman  
Nine ,drama musical romance based on stage musical based on film child abuse film director italian mistress  
Timeline ,action adventure sci-fi castle france professor student time machine  
The Postman ,action adventure drama sci-fi drifter escape hope postman usa  
Babe: Pig in the City ,adventure comedy drama family fantasy animal farm farmer hotel pig  
The Last Witch Hunter ,action adventure fantasy box office flop burned to death magic witch witch hunter  
Red Planet ,action sci-fi thriller astronaut mars robot robot as menace survival  
Arthur and the Invisibles ,adventure animation family fantasy boy debt garden princess treasure  
Oceans ,documentary drama damselfish ocean habitat ocean life razorfish spider crab  
A Sound of Thunder ,action adventure horror sci-fi thriller butterfly hunter time time travel wave  
Pompeii ,action adventure drama history romance arena lava bomb mount vesuvius pompeii slave  
Top Cat Begins ,animation family nan  
A Beautiful Mind ,biography drama conspiracy cryptography mathematician mental illness nobel prize  
The Lion King ,adventure animation drama family musical king prince scar uncle unnecessary guilt  
Journey 2: The Mysterious Island ,action adventure comedy family fantasy sci-fi gold hurricane island mountain mysterious island  
Cloudy with a Chance of Meatballs 2 ,animation comedy family fantasy sci-fi food inventor island orangutan scientist  
Red Dragon ,crime drama thriller criminal profile fbi agent madman tabloid reporter tragic villain  
Hidalgo ,action adventure western arab cowboy horse race sheik  
Jack and Jill ,comedy advertising advertising executive commercial protective male twins  
2 Fast 2 Furious ,action crime thriller bust racing shotgun street racing undercover agent  
The Little Prince ,adventure animation drama family fantasy aviator based on book girl little girl the little prince  
The Invasion ,sci-fi thriller alien epidemic psychiatrist space shuttle virus  
The Adventures of Rocky & Bullwinkle ,adventure animation comedy family fantasy deforestation fbi lighthouse moose squirrel  
The Secret Life of Pets ,animation comedy family animal control lost animal mongrel pet terrier  
The League of Extraordinary Gentlemen ,action adventure fantasy sci-fi box office flop captain nemo dorian gray invisible man steampunk  
Despicable Me 2 ,animation comedy family sci-fi dating minion overprotective father undercover spy woman agent  
Independence Day ,action adventure sci-fi alien area 51 military spacecraft spaceship  
The Lost World: Jurassic Park ,action adventure sci-fi capture dinosaur island jurassic jurassic park  
Madagascar ,adventure animation comedy family escape jungle lemur madagascar zoo  
Children of Men ,drama sci-fi thriller chaos england long take survival violence  
X-Men ,action adventure sci-fi first part mutant professor superhero superhero team  
Wanted ,action crime fantasy thriller assassin bobble head doll femme fatale rejuvenation strong female lead  
The Rock ,action adventure thriller alcatraz fbi general hostage rocket  
Ice Age: The Meltdown ,action adventure animation comedy family fantasy flood mammoth no opening credits squirrel valley  
50 First Dates ,comedy romance dream hawaii hawaiian shirt short term memory loss veterinarian  
Hairspray ,comedy drama family music musical romance audition best friend dance friend tv dance show  
Exorcist: The Beginning ,horror mystery thriller archeologist church excavation faith relic  
Inspector Gadget ,action adventure comedy family sci-fi actor playing multiple roles claw gadget inspector police  
Now You See Me ,crime mystery thriller bank fbi heist interpol magician  
Grown Ups ,comedy basketball coach daughter high school high school basketball  
The Terminal ,comedy drama airport construction site fish out of water flight attendant man without a country  
Constantine ,drama fantasy horror thriller based on comic based on comic book dc arrowverse dc comics supernatural  
Hotel for Dogs ,comedy family abandoned hotel dog foster home overalls playing with a dog  
Vertical Limit ,action adventure drama thriller death die hard scenario k2 rescue urination  
Charlie Wilson's War ,biography comedy drama history afghanistan arms dealer based on true story cia texas  
Shark Tale ,adventure animation comedy family anchor fish mobster shark vegetarian  
Dreamgirls ,drama music musical 1960s fire pop chart singer trio  
Life ,crime drama mystery cop murder partner police protective male  
Be Cool ,comedy crime music concert mobster russian sequel widow  
Munich ,drama history thriller arab black september israel jew munich olympics  
Tears of the Sun ,action drama thriller war dictator doctor jungle rebel refugee  
Killers ,action comedy romance thriller hired killer marriage neighbor on the run store clerk  
The Man from U.N.C.L.E. ,action adventure comedy box office flop cia agent criminal organization kgb agent nuclear bomb  
Spanglish ,comedy drama romance chef college housekeeper letter mexico  
Monster House ,animation comedy family fantasy mystery babysitter halloween house neighbor suburb  
Bandits ,comedy crime drama romance bank manager hypochondriac love triangle prison television  
First Knight ,action adventure romance thriller battle king king arthur knight marriage  
Anna and the King ,drama history romance 1860s children king schoolteacher siam  
Immortals ,action drama fantasy romance burned alive castration olympus torture torture device  
Hostage ,action crime drama mystery thriller california hostage hostage negotiator organized crime police  
Titan A.E. ,action adventure animation family sci-fi alien captain escape pilot scientist  
Hollywood Homicide ,action comedy crime thriller audition kissing while having sex machismo murder sex  
Soldier ,action drama sci-fi crash survivor planet sergeant soldier survivor  
Carriers ,drama horror sci-fi thriller beach disease latex gloves pandemic virus  
Monkeybone ,animation comedy fantasy carnival coma death monkey nightmare  
Flight of the Phoenix ,action adventure drama thriller captain desert rescue stranded survivor  
Unbreakable ,drama mystery sci-fi thriller child with gun comic book invulnerability superhero train crash  
Minions ,action animation comedy family sci-fi antarctica minion queen super villain villain  
Sucker Punch ,action fantasy alternate reality escape girl gang prostitution samurai  
Snake Eyes ,crime mystery thriller assassination boxing casino conspiracy long take  
Sphere ,drama mystery sci-fi thriller manifestation ocean spacecraft spaceship sphere  
The Angry Birds Movie ,action animation comedy family butt downward duck fish kingfisher pig  
Fool's Gold ,action adventure comedy romance thriller debt rapper treasure treasure hunter yacht  
Funny People ,comedy drama breasts comedian craigslist infidelity stand up comedian  
The Kingdom ,action drama thriller al qaeda bomb making fbi saudi arabia stabbed in the crotch  
Talladega Nights: The Ballad of Ricky Bobby ,action comedy sport car racing french friend nascar racing  
Dr. Dolittle 2 ,comedy family fantasy bear doctor false accusation man with glasses second part  
Braveheart ,biography drama history war 14th century legend revolt scotland tyranny  
Jarhead ,action drama war american abroad gulf war u.s. military u.s. soldier usmc  
The Simpsons Movie ,adventure animation comedy alaska dome lake pig the simpsons  
The Majestic ,drama romance amnesia california communist small town writer  
Driven ,action drama sport car race german race car race car driver rookie  
Two Brothers ,adventure drama family circus death of protagonist jungle killing an animal tiger  
The Village ,drama mystery romance thriller creature pact plot twist village woods  
Doctor Dolittle ,comedy family fantasy box office hit doctor dog first part tiger  
Signs ,drama sci-fi thriller crop circle faith farm glass of water loss of faith  
Shrek 2 ,adventure animation comedy family fantasy romance drag queen physical appearance princess queen sequel  
Cars ,adventure animation comedy family sport car desert route 66 tow truck truck  
Runaway Bride ,comedy romance bride columnist journalist maryland wedding  
xXx ,action adventure thriller agent nsa nsa agent prague russian  
The SpongeBob Movie: Sponge Out of Water ,adventure animation comedy family fantasy book magic pirate plankton time machine  
Ransom ,crime thriller bounty fbi millionaire money ransom  
Inglourious Basterds ,adventure drama war france german nazis revenge scalping  
Hook ,adventure comedy family fantasy 1990s caught in a net children duel hero  
Die Hard 2 ,action thriller airport fuel plane police terrorist  
S.W.A.T. ,action adventure crime thriller hostage police prison swat team training  
Sleepy Hollow ,adventure drama fantasy mystery thriller apocalypse death husband wife relationship mother son relationship murder  
Vanilla Sky ,fantasy mystery romance sci-fi thriller death dream love lynchian reality  
Lady in the Water ,drama fantasy mystery thriller apartment bedtime story eagle stuttering swimming pool  
AVP: Alien vs. Predator ,action horror sci-fi thriller alien antarctica predator pyramid satellite  
Alvin and the Chipmunks: The Squeakquel ,animation comedy family fantasy music adidas chipmunk hospital school waste container  
We Were Soldiers ,action drama history war air cavalry battle major soldier vietnamese  
Olympus Has Fallen ,action thriller political thriller politics president speaker of the house u.s. president  
Star Trek: Insurrection ,action adventure sci-fi thriller alien captain commander conspiracy planet  
Battle Los Angeles ,action sci-fi alien extraterrestrial invasion marine mission  
Big Fish ,adventure drama fantasy dog saved from a fire flashback growing up multiple narrators traveling salesman  
Wolf ,drama horror romance thriller blood publisher publishing house werewolf wolf  
War Horse ,drama war barbed wire british cavalry horse world war one  
The Monuments Men ,drama war art art expert nazi stolen art soldier world war two  
The Abyss ,adventure drama sci-fi thriller alien estranged couple ocean submarine underwater  
Wall Street: Money Never Sleeps ,drama corporate greed crisis economy greed mentor  
Dracula Untold ,action drama fantasy horror war death of wife dracula tarantula turk vampire  
The Siege ,action thriller abduction martial law military new york city terrorist  
Stardust ,adventure family fantasy romance king magic one word title pirate village  
Seven Years in Tibet ,adventure biography drama history war austria dalai lama himalaya mountain tibet  
The Dilemma ,comedy drama best friend friend investigation secret two word title  
Bad Company ,action adventure comedy thriller cia cia agent terrorist twin twin brother  
Doom ,action adventure horror sci-fi commando unit extra chromosome first person shooter special forces teleportation  
I Spy ,action adventure comedy thriller boxer espionage spy stealth top secret  
Underworld: Awakening ,action fantasy horror battle cryogenics detective scientist vampire  
Rock of Ages ,comedy drama musical romance concert love music industry panties pole dancer  
Hart's War ,drama war colonel honor lieutenant pilot racism  
Killer Elite ,action crime thriller australia death mentor revenge secret society  
Rollerball ,action sci-fi sport ball blood skating song year 2005  
Ballistic: Ecks vs. Sever ,action crime sci-fi thriller blood splatter camera shot from inside human body combat die hard scenario fbi  
Hard Rain ,action crime drama thriller dam flood money police sheriff  
Osmosis Jones ,action adventure animation comedy crime family fantasy blood body egg virus white blood cell  
Legends of Oz: Dorothy's Return ,adventure animation family fantasy musical jester kansas oz princess tornado  
Blackhat ,action crime drama mystery thriller chinese computer cybercrime hacker one word title  
Sky Captain and the World of Tomorrow ,action adventure mystery sci-fi thriller captain pilot reporter robot scientist  
Basic Instinct 2 ,crime mystery thriller drugs murder psychiatrist scotland yard sex  
Escape Plan ,action crime mystery sci-fi thriller cia agent escape muslim prison ship  
The Legend of Hercules ,action adventure fantasy ancient greece forbidden love hercules king slavery  
The Sum of All Fears ,action drama thriller analyst cia nuclear bomb nuclear weapons russia  
The Twilight Saga: Eclipse ,adventure drama fantasy romance friendship graduation revenge vampire werewolf  
The Score ,crime drama thriller partner running scepter surveillance thief  
Despicable Me ,animation comedy family girl minion moon pyramid white picket fence  
Money Train ,action comedy crime drama thriller bare breasts breast loan shark subway train  
Ted 2 ,comedy baby f word fight lawyer marriage  
Agora ,adventure drama history romance christian love philosophy prefect slave  
Mystery Men ,action comedy fantasy sci-fi bowling rajah sphinx spleen superhero  
Hall Pass ,comedy romance drugged food female frontal nudity male frontal nudity male nudity marriage  
The Insider ,biography drama thriller cbs cbs news research tobacco whistleblower  
The Finest Hours ,action drama history thriller 1950s coast guard oil tanker sinking ship survival  
Body of Lies ,action drama thriller cia jordan middle east spy terrorist  
Dinner for Schmucks ,comedy dinner diorama idiot irs mouse  
Abraham Lincoln: Vampire Hunter ,action fantasy horror chopping down a tree hanging upside down shopkeeper vampire vampire hunter  
Entrapment ,action crime romance thriller art thief insurance mask master thief reference to iron maiden  
Last Man Standing ,comedy family relationships husband wife relationship live studio audience sitcom three word title  
The X Files ,drama mystery sci-fi thriller agent alien bomb fbi government  
The Last Legion ,action adventure fantasy war 5th century boy capri roman legion soldier  
Saving Private Ryan ,action drama war army invasion killed in action normandy soldier  
Need for Speed ,action crime drama thriller cross country custom car illegal street racing police officer crushed street racing  
What Women Want ,comedy fantasy romance advertising battle of the sexes ex husband ex wife relationship pantyhose telepathy  
Ice Age ,adventure animation comedy family baby ice ice age sleeping sloth  
Dreamcatcher ,drama horror sci-fi thriller alien friend maine military woods  
Lincoln ,biography drama history war cultural conflict politics president slavery u.s. president  
The Matrix ,action sci-fi artificial reality computer matrix questioning reality simulated reality  
Apollo 13 ,adventure drama history cape kennedy news footage reference to christopher columbus rocket trapped in space  
The Santa Clause 2 ,comedy family fantasy christmas magic santa claus son toy  
Les Misérables ,drama musical romance barricade innkeeper parole rebellion student  
You've Got Mail ,comedy drama romance bookstore competing businesses instant messaging new york city shop owner  
Step Brothers ,comedy dream friendship karaoke love slacker  
The Mask of Zorro ,action adventure comedy romance thriller western 19th century california revenge training zorro  
Due Date ,comedy drama actor aspiring actor birth misadventure suitcase  
Unbroken ,biography drama sport war emaciation male nudity plane crash prisoner of war torture  
Space Cowboys ,action adventure thriller nasa old age satellite space space shuttle  
Cliffhanger ,action adventure thriller money mountain rocky mountains snow suitcase  
Broken Arrow ,action crime thriller captain desert major park ranger utah  
The Kid ,comedy family fantasy altering history cartoon on tv childhood image consultant one two combo  
World Trade Center ,drama history thriller based on true story police rescue rubble trapped  
Mona Lisa Smile ,drama art college school student wellesley college  
The Dictator ,comedy romance dictator hotel oil overalls sunglasses  
Eyes Wide Shut ,drama mystery thriller doctor orgy party pianist sexual fantasy  
Annie ,comedy drama family musical billionaire business tycoon mayoral candidate penthouse reference to star trek  
Focus ,comedy crime drama romance con artist con man deception rivalry seduction  
This Means War ,action comedy romance best friend cia cia agent dating undercover  
Blade: Trinity ,action adventure fantasy horror sci-fi thriller blade blood dracula vampire hunter vampire slayer  
Red Dawn ,action drama war guerrilla high school invasion soviet wolverine  
Primary Colors ,comedy drama campaigning candidate election governor president  
Resident Evil: Retribution ,action horror sci-fi thriller corporation fight rescue umbrella zombie  
Death Race ,action sci-fi thriller armored car car murder prison warden  
The Long Kiss Goodnight ,action crime drama mystery thriller amnesia chase foot chase strong female character vomiting  
Proof of Life ,action drama thriller jungle pipeline prisoner ransom south america  
Zathura: A Space Adventure ,action adventure comedy family fantasy sci-fi 2000s coke meeting future self reference to spongebob squarepants sony  
Fight Club ,drama anti establishment dark humor fighting multiple personality disorder surprise ending  
We Are Marshall ,drama sport coach football football team marshall university university  
The Missing ,crime drama mystery france journalist limp police detective reporter  
Hudson Hawk ,action adventure comedy blackmail burglar critically bashed leonardo da vinci prison  
Lucky Numbers ,comedy crime celebrity lottery murder snowmobile weatherman  
"I, Frankenstein ",action fantasy sci-fi thriller army creature demon frankenstein gargoyle  
Oliver Twist ,crime drama boy character name in title orphan pickpocket workhouse  
Elektra ,action crime fantasy thriller assassin battle heroine martial arts spin off  
Sin City: A Dame to Kill For ,action crime thriller box office flop female frontal nudity female rear nudity jackpot rescue  
Random Hearts ,drama mystery romance death plane crash police police sergeant politician  
Everest ,adventure biography drama history sport thriller blizzard mount everest mountain mountain climbing snow  
Perfume: The Story of a Murderer ,crime drama fantasy 18th century perfume scent sense of smell smell  
Austin Powers in Goldmember ,action comedy crime fem bot prison seductive fembot spy time travel  
Astro Boy ,action animation comedy family sci-fi betrayal futuristic gladiator robot scientist  
Jurassic Park ,adventure sci-fi thriller dinosaur jurassic park survival theme park tyrannosaurus rex  
Wyatt Earp ,adventure biography crime drama western historically inaccurate name calling penis slur vomiting wyatt earp  
Clear and Present Danger ,action crime drama thriller cia colombia colombian drug cartel drugs president  
Dragon Blade ,action adventure drama history child fugitive final battle martial art silk road sword  
Littleman ,comedy crime diamond infant parody spoof sports violence  
U-571 ,action war battle historically inaccurate submarine movie u boat world war two  
The American President ,comedy drama romance lobbyist president senator state dinner widower  
The Love Guru ,comedy romance sport bloopers during credits bucket of popcorn chastity belt guru toronto maple leafs  
3000 Miles to Graceland ,action comedy crime thriller casino elvis impersonator gun heist rascal  
The Hateful Eight ,crime drama mystery thriller western blizzard blood vomiting bounty hunter murder shot in the crotch  
Blades of Glory ,comedy sport competition fight ice jock strap nintendo game boy advance  
Hop ,adventure animation comedy family fantasy drummer easter easter bunny piaggio vespa gtv 250 slacker  
300 ,action drama fantasy war battle epic greece spartan warrior  
Meet the Fockers ,comedy romance bare butt defecation father in law son in law relationship nurse sexual innuendo in title  
Marley & Me ,comedy drama family box office hit dog dog movie florida pet name in title  
The Green Mile ,crime drama fantasy mystery 1930s death row inmate healing prison guard southern u.s.  
Wild Hogs ,action adventure comedy biker gang friend motorcycle new mexico road trip  
Chicken Little ,adventure animation comedy family sci-fi alien invasion chicken fish friend panic  
Gone Girl ,crime drama mystery thriller based on novel disappearance missing person missing wife murder suspect  
The Bourne Identity ,action mystery thriller amnesia assassin money political thriller three word title  
GoldenEye ,action adventure thriller agent cossack official james bond series russia russian  
The General's Daughter ,drama mystery thriller army cid cover up military murder woman in military  
The Truman Show ,comedy drama sci-fi controlled environment fictional reality show hidden camera innocence lost simulated reality  
The Prince of Egypt ,adventure animation biography drama family fantasy musical ancient egypt hebrew nudity pharaoh title directed by female  
Daddy Day Care ,comedy family bloopers during credits breakfast cereal department store ride face painting sponge bob square pants slippers  
2 Guns ,action comedy crime drama thriller close up of breasts female nudity fugitive money undercover  
Cats & Dogs ,action comedy family fantasy cartoon on tv cat dog scientist secret agent  
The Italian Job ,action crime thriller gold heist revenge traffic jam venice italy  
Two Weeks Notice ,comedy romance developer divorce lawyer love new york city  
Antz ,adventure animation comedy family ant friend princess soldier worker  
Couples Retreat ,comedy couple island marriage tropical voyeurism  
Days of Thunder ,action drama sport driver hot shot racing stock car driver team  
Cheaper by the Dozen 2 ,adventure comedy family children competition rival second part vacation  
The Scorch Trials ,action sci-fi thriller desert disease escape resistance virus  
Eat Pray Love ,drama romance divorce emotional balance female protagonist indonesia inner peace  
The Family Man ,comedy drama fantasy romance bowling christmas parallel universe salesman unfaithfulness  
RED ,action comedy crime thriller cia female assassin interrogation office cubicle spy  
Any Given Sunday ,drama sport breasts coach football in medias res vomiting  
The Horse Whisperer ,drama romance western grace groom horse montana western u.s.  
Collateral ,crime drama thriller city by night contract killer driving at night los angeles california taxi  
The Scorpion King ,action adventure fantasy thriller desert king showdown sorceress warrior  
Ladder 49 ,action drama thriller death of husband fire firefighter funeral main character dies  
Jack Reacher ,action crime mystery thriller coma mysterious villain police chase shooting range sniper  
Deep Blue Sea ,action sci-fi thriller alzheimer's disease experiment human versus shark research underwater headquarters  
This Is It ,documentary music 2000s box office hit comeback rehearsal year 2009  
Contagion ,drama thriller contagion cure infection panic virus  
Kangaroo Jack ,action adventure comedy crime australia body paint kangaroo mob money  
Coraline ,animation family fantasy dream new home parallel worlds scissors secret door  
The Happening ,sci-fi thriller bee nature park school teacher  
Man on Fire ,action crime drama thriller bodyguard journalist kidnapping mexico police corruption  
The Shaggy Dog ,comedy family fantasy animal as human dog movie elevator human becoming an animal sheepdog  
Starsky & Hutch ,comedy crime cocaine cop criminal partner police  
Jingle All the Way ,comedy family action figure christmas hero karate toy  
Hellboy ,action fantasy horror sci-fi assassin demon hero nazi superhero  
A Civil Action ,drama 1980s law firm lawsuit lawyer toxic waste  
ParaNorman ,adventure animation comedy family fantasy curse ghost outcast witch zombie  
The Jackal ,action adventure crime thriller assassin fbi ira jackal russian  
Paycheck ,action mystery sci-fi thriller anti hero babe scientist engineer memory money  
Up Close & Personal ,drama romance journalism news anchor newscast newscaster tv journalism  
The Tale of Despereaux ,adventure animation comedy family fantasy book darkness dungeon princess rat  
Rules of Engagement ,comedy romance fiance fiancee magazine editor naivety womanizer  
The Tuxedo ,action comedy sci-fi chauffeur hospital secret agent spying tuxedo  
Under Siege 2: Dark Territory ,action thriller colorado niece satellite terrorist train  
Jack Ryan: Shadow Recruit ,action drama thriller covert analyst marine russian spy stock market  
Joy ,biography comedy drama based on real person female inventor mop sales pitch woman holding a shotgun  
London Has Fallen ,action crime drama thriller british funeral good versus evil mole sequel  
Alien: Resurrection ,action horror sci-fi alien blood breeding clone scientist  
Shooter ,action crime drama mystery thriller colonel ethiopia marksman on the run rangefinder  
The Boxtrolls ,adventure animation comedy family fantasy chase puppet animation red hat stop motion animation troll  
Practical Magic ,comedy drama fantasy romance curse death island love magic  
The Lego Movie ,action adventure animation comedy family fantasy based on toy dual personality evil businessman good cop bad cop lego  
Miss Congeniality 2: Armed and Fabulous ,action comedy crime bodyguard fbi fbi agent female protagonist undercover  
Reign of Fire ,action adventure fantasy sci-fi thriller castle dragon fire breathing dragon militia survival  
Gangster Squad ,action crime drama thriller good versus evil machine gun mobster police vigilantism year 1949  
Year One ,adventure comedy abraham hunter princess sodom tribe  
Invictus ,biography drama history sport apartheid nation nelson mandela president rugby  
State of Play ,crime drama mystery thriller congressman conspiracy newspaper political conspiracy subway  
Duplicity ,comedy crime romance thriller ceo dubai product rivalry spy  
My Favorite Martian ,comedy family sci-fi alien hidden camera martian reporter spaceship  
The Sentinel ,action crime thriller first lady framed investigation president secret service  
Planet 51 ,adventure animation comedy family sci-fi alien alien planet astronaut planet teenager  
Star Trek: Nemesis ,action adventure sci-fi thriller earth federation romulan slave space  
Intolerable Cruelty ,comedy crime romance attorney divorce marriage real estate screwball comedy  
Trouble with the Curve ,drama sport aging baseball baseball scout north carolina pitcher  
Edge of Darkness ,crime drama mystery thriller activist detective father daughter relationship investigation vigilantism  
The Relic ,horror mystery sci-fi thriller fire helicopter museum police sergeant relic  
Analyze That ,comedy crime blonde mafia mental illness prison second part  
Righteous Kill ,action crime drama mystery thriller blood splatter execution new york city nypd serial killer  
Mercury Rising ,action crime drama thriller autistic child boy child in danger fbi nsa  
The Soloist ,biography drama music columnist journalist los angeles times musician wearing a traffic cone as a hat  
The Legend of Bagger Vance ,drama fantasy sport caddy game golf golf course golfer  
Almost Famous ,adventure comedy drama music band magazine rolling stone magazine smoking marijuana tour  
Garfield 2 ,animation comedy family fantasy cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b  
xXx: State of the Union ,action adventure crime thriller coup d'etat mutiny president u.s. navy washington d.c.  
Priest ,action fantasy horror sci-fi thriller church priest sheriff vampire warrior  
Sinbad: Legend of the Seven Seas ,adventure animation comedy drama family fantasy romance book framed goddess prince sinbad  
Event Horizon ,horror sci-fi thriller solar system space spaceship starship year 2047  
Dragonfly ,drama fantasy mystery romance thriller death doctor grave patient venezuela  
The Black Dahlia ,crime drama mystery thriller black dahlia boxer corpse death partner  
Flyboys ,action adventure drama history romance war american france military pilot training  
The Last Castle ,action drama thriller colonel general military prison three star general  
Supernova ,horror sci-fi thriller deep space distress signal explosion mining rescue  
Winter's Tale ,drama fantasy mystery romance black and white photograph drawing with blood falling through ice playing piano red haired woman  
The Mortal Instruments: City of Bones ,fantasy horror mystery romance battle demon magic secret warrior  
Meet Dave ,adventure comedy family romance sci-fi alien mutiny orb planet spaceship  
Dark Water ,drama horror thriller apartment hello kitty school teacher water  
Edtv ,comedy drama female removes her clothes one word title producer television video store  
Inkheart ,adventure family fantasy book escape girl overalls villain  
The Spirit ,action crime fantasy thriller female star appears nude pants falling down samurai white rat woman in a towel  
Mortdecai ,action comedy mystery romance art dealer fake painting macguffin moustache stolen painting  
In the Name of the King: A Dungeon Siege Tale ,action adventure fantasy thriller farmer king krug rescue wizard  
Beyond Borders ,adventure drama romance war africa american border doctor well  
Xi you ji zhi: Sun Wukong san da Baigu Jing ,action adventure fantasy buddhism demon journey to the west monk monkey king  
The Great Raid ,action drama war american lieutenant colonel mission rescue soldier  
Deadpool ,action adventure comedy romance sci-fi based on comic book breaking the fourth wall mercenary mutant self healing  
Holy Man ,comedy drama 1990s evangelist professional rivalry swimming pool televangelist  
American Sniper ,action biography drama history thriller war assassin death of child iraq sniper sniper rifle  
Goosebumps ,adventure comedy family fantasy horror based on book blob ferris wheel manuscript monster  
"Sabrina, the Teenage Witch             ",comedy family fantasy female protagonist hereditary gift of witchcraft magic supernatural witch  
Just Like Heaven ,comedy fantasy romance apartment architect coma doctor spirit  
The Flintstones in Viva Rock Vegas ,comedy family romance sci-fi based on tv series love prequel the flintstones title appears in song  
Rambo III ,action adventure thriller war afghanistan colonel rambo rescue soviet  
Leatherheads ,comedy drama romance sport college football fight football hero surrender  
The Ridiculous 6 ,comedy western apache bank robbery baseball half brothers white raised as indian  
Did You Hear About the Morgans? ,comedy drama romance fbi murder witness witness protection wyoming  
The Internship ,comedy actor's picture shown in credits animated credits google internship still images in end credits  
Resident Evil: Afterlife ,action adventure horror sci-fi alaska female gunfighter mutation ship siege  
Red Tails ,action adventure drama history war african american battle italy tuskegee airmen world war two  
Sex and the City ,comedy romance casual sex friendship friendship between women gay singles  
The Devil's Advocate ,drama mystery thriller deal with the devil lawyer money reality supernatural power  
That's My Boy ,comedy argument reference to vanilla ice statutory rape teacher student relationship teacher student sex  
DragonHeart ,action adventure fantasy dragon england human dragon relationship king knight  
After the Sunset ,action comedy crime drama diamond fbi fbi agent island thief  
Ghost Rider: Spirit of Vengeance ,action fantasy thriller deal with the devil devil eastern europe ghost rider monk  
Captain Corelli's Mandolin ,drama music romance war captain greek island italian love  
Anger Management ,comedy romance anger management argument irony sarcasm therapist  
The Pacifier ,action comedy drama family thriller bodyguard death of husband male nanny nanny wrestling match  
Walking Tall ,action crime casino football sheriff special forces violence  
Forrest Gump ,comedy drama amputee love vietnam vietnam war war hero  
Alvin and the Chipmunks ,animation comedy family fantasy music based on cartoon chipmunk concert fart joke talking animal  
Meet the Parents ,comedy cat cia jewish male nurse nurse  
Pocahontas ,adventure animation drama family history musical romance actor playing multiple roles love one word title unsubtitled foreign language virginia  
Superman ,action adventure drama romance sci-fi 1970s clark kent planet superhero year 1978  
The Nutty Professor ,comedy romance sci-fi face slap formula overweight professor teacher  
Hitch ,comedy romance advice friendship gossip newspaper quitting a job  
George of the Jungle ,action adventure comedy family romance animal companion heiress hero jungle male objectification  
American Wedding ,comedy romance bachelor party blow job breasts friend wedding  
Captain Phillips ,biography drama thriller hijacking hostage leader ship somalia  
Date Night ,comedy crime romance thriller city new york city night reservation restaurant  
Casper ,comedy family fantasy casper friendly ghost ghost maine mansion  
The Equalizer ,action crime thriller assassin ex soldier gangster hanged man mysterious past  
Maid in Manhattan ,comedy drama romance hotel maid new york city place name in title the bronx  
Crimson Tide ,action drama thriller war alabama mutiny order radio submarine  
The Pursuit of Happyness ,biography drama bus intern internship salesman stockbroker  
Flightplan ,drama mystery thriller captain flight flight attendant plane search  
Disclosure ,drama thriller computer marriage non statutory female on male rape promotion sexual harassment  
City of Angels ,drama fantasy romance angel doctor fall heart surgeon hospital  
Kill Bill: Vol. 1 ,action bride coma japan revenge sword  
Bowfinger ,comedy film within a film filmmaking guerrilla filmmaking making of a movie scientology parody  
Stargate SG-1 ,action adventure drama sci-fi 2000s 21st century alternate history message from outer space military  
Kill Bill: Vol. 2 ,action crime drama thriller assassin assassination bride death vengeance  
Tango & Cash ,action comedy crime thriller 1980s 80s action escape plea bargain prison  
Death Becomes Her ,comedy fantasy horror plastic surgeon rejuvenation revenge rival rivalry  
Shanghai Noon ,action adventure comedy western 19th century chinese princess rescue travel  
Executive Decision ,action adventure thriller bomb hostage military plane terrorist  
Mr. Popper's Penguins ,comedy family fantasy father penguin snowglobe son winter  
The Forbidden Kingdom ,action adventure fantasy monkey king staff teenager urination warrior  
Free Birds ,adventure animation comedy family chipmunk hunting dog sabotage thanksgiving turkey the bird  
Alien 3 ,action horror sci-fi alien crash planet prison survivor  
Evita ,biography drama history musical actress argentina military politics singer  
Ronin ,action adventure crime thriller case ex kgb ronin russian suitcase  
The Ghost and the Darkness ,adventure drama horror thriller bridge engineer hunter lion railway  
Paddington ,animation comedy family fantasy bear ear wax cleaning fake newsreel paddington station london taxidermist  
The Watch ,action comedy sci-fi alien escape manager neighborhood watch ohio  
The Hunted ,action crime drama thriller capture combat fbi hunter special forces  
Instinct ,drama thriller africa anthropologist murder poacher psychiatrist  
Stuck on You ,comedy actor conjoined twins cook internet short order cook  
Semi-Pro ,comedy sport flint michigan merger michigan nba team  
